Issue Type,Issue key,Issue id,Summary,Description,Assignee,Reporter,Priority,Status,Resolution,Created,Updated
Bug,ZOOKEEPER-637,12444803,Trunk build is failing,"The trunk build is failing when Hudson runs it. The problem seems to be that ivy-init is executed only once, but its definitions (in particular ivy:settings) do not persist, and the failure occurs when we run ivy-retrieve a second time, which requires the definition of ivy:settings.

It seems that the problem occur with ant 1.7.0, but not with 1.7.1, so it could be an ant issue. ",fpj,fpj,Major,Closed,Fixed,06/Jan/10 16:26,26/Mar/10 17:33
Bug,ZOOKEEPER-642,12445368,"""exceeded deadline by N ms"" floods logs","More important zookeeper warnings are drown out by the following several times per minute:

2010-01-12 17:39:57,227:22317(0x4147eb90):ZOO_WARN@zookeeper_interest@1335: Exceeded deadline by 13ms

Perhaps this is an issue with the way virtualized systems manage gettimeofday results?

Maybe the current 10ms threshold could be pushed up a bit.  I notice that 95% of the messages are below 50ms.

Is there an obvious configuration change that I can make to fix this?

config file below:

# The number of milliseconds of each tick
tickTime=2000
# The number of ticks that the initial
# synchronization phase can take
initLimit=10
# The number of ticks that can pass between
# sending a request and getting an acknowledgement
syncLimit=5
# the directory where the snapshot is stored.
dataDir=/mnt/zookeeper
# the port at which the clients will connect
clientPort=2181

server.1=hbase.1:2888:3888
server.2=hbase.2:2888:3888
server.3=hbase.3:2888:3888
server.4=hbase.4:2888:3888
server.5=hbase.5:2888:3888
",marccelani,dale6john,Major,Resolved,Fixed,13/Jan/10 01:52,11/May/12 11:00
Bug,ZOOKEEPER-644,12445541,Nightly build failed on hudson.,"the nighthly build has been failing. http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/664/. The problem seems to be 
{code}
BUILD FAILED
java.lang.NoClassDefFoundError: org/apache/ivy/ant/IvyMakePom$Mapping

Total time: 15 minutes 14 seconds
{code}",phunt,mahadev,Major,Closed,Fixed,14/Jan/10 18:43,26/Mar/10 17:25
Bug,ZOOKEEPER-647,12445692,hudson failure in testLeaderShutdown,"http://hudson.zones.apache.org/hudson/view/ZooKeeper/job/ZooKeeper-trunk/666/testReport/org.apache.zookeeper.test/QuorumTest/testLeaderShutdown/

junit.framework.AssertionFailedError: QP failed to shutdown in 30 seconds
	at org.apache.zookeeper.test.QuorumBase.shutdown(QuorumBase.java:293)
	at org.apache.zookeeper.test.QuorumBase.shutdownServers(QuorumBase.java:281)
	at org.apache.zookeeper.test.QuorumBase.tearDown(QuorumBase.java:266)
	at org.apache.zookeeper.test.QuorumTest.tearDown(QuorumTest.java:55)

Flavio, can you triage this one?
",fpj,phunt,Critical,Closed,Fixed,15/Jan/10 22:33,26/Mar/10 17:25
Bug,ZOOKEEPER-653,12446348,hudson failure in LETest,"http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/675/testReport/org.apache.zookeeper.test/LETest/testLE/

junit.framework.AssertionFailedError: Threads didn't join
	at org.apache.zookeeper.test.LETest.testLE(LETest.java:116)
",phunt,phunt,Major,Resolved,Fixed,22/Jan/10 18:07,29/Mar/12 11:40
Bug,ZOOKEEPER-656,12446452,SledgeHammer test - thread.run() deprecated ,Thread.run() used instead of Thread.start() . ,kaykay.unique,kaykay.unique,Major,Closed,Fixed,24/Jan/10 01:27,26/Mar/10 17:25
Bug,ZOOKEEPER-663,12455085,hudson failure in ZKDatabaseCorruptionTest,"http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/686/

java.lang.RuntimeException: Unable to run quorum server 
	at org.apache.zookeeper.server.quorum.QuorumPeer.start(QuorumPeer.java:380)
	at org.apache.zookeeper.test.ZkDatabaseCorruptionTest.testCorruption(ZkDatabaseCorruptionTest.java:99)
Caused by: java.io.IOException: Invalid magic number 0 != 1514884167
	at org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator.inStreamCreated(FileTxnLog.java:455)
	at org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator.createInputArchive(FileTxnLog.java:471)
	at org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator.goToNextLog(FileTxnLog.java:438)
	at org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator.next(FileTxnLog.java:519)
	at org.apache.zookeeper.server.persistence.FileTxnSnapLog.restore(FileTxnSnapLog.java:145)
	at org.apache.zookeeper.server.ZKDatabase.loadDataBase(ZKDatabase.java:193)
	at org.apache.zookeeper.server.quorum.QuorumPeer.start(QuorumPeer.java:377)",mahadev,phunt,Critical,Closed,Fixed,02/Feb/10 17:30,26/Mar/10 17:25
Bug,ZOOKEEPER-667,12456060,java client doesn't allow ipv6 numeric connect string,"The java client doesn't handle ipv6 numeric addresses as they are colon (:) delmited. After splitting the host/port on : we look for the port as the second entry in the array rather than the last entry in the array.
",phunt,phunt,Critical,Closed,Fixed,11/Feb/10 19:26,20/Jun/12 10:39
Bug,ZOOKEEPER-668,12456134,Close method in LedgerInputStream doesn't do anything,I think we should remove the close call in LedgerInputStream. ,fpj,fpj,Major,Closed,Fixed,12/Feb/10 12:12,26/Mar/10 17:25
Bug,ZOOKEEPER-669,12456182,watchedevent tostring should clearly output the state/type/path,the current tostring method is broken,phunt,phunt,Critical,Closed,Fixed,12/Feb/10 20:46,26/Mar/10 17:25
